Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03,22.420000,22.459999,21.780001,22.250000,21.963562,176200
2020-08-04,22.180000,22.650000,22.110001,22.340000,22.052404,101600
2020-08-05,22.590000,22.700001,22.180000,22.450001,22.160986,135500
2020-08-06,22.500000,22.920000,22.410000,22.660000,22.368282,119500
2020-08-07,22.559999,23.170000,22.530001,23.070000,22.861788,156600
2020-08-10,23.070000,23.799999,23.070000,23.469999,23.258179,108400
2020-08-11,23.700001,24.010000,23.299999,23.430000,23.218540,107900
2020-08-12,23.790001,23.790001,23.170000,23.440001,23.228451,70400
2020-08-13,23.230000,23.400000,22.889999,23.219999,23.010433,66500
2020-08-14,23.070000,23.170000,22.820000,22.969999,22.762690,49500
2020-08-17,23.020000,23.040001,22.760000,22.820000,22.614044,57500
2020-08-18,22.730000,22.730000,22.309999,22.500000,22.296932,76400
2020-08-19,22.440001,23.389999,22.440001,22.860001,22.653685,91000
2020-08-20,22.559999,22.650000,22.360001,22.450001,22.247387,52800
2020-08-21,22.290001,22.350000,22.180000,22.309999,22.108648,86500
2020-08-24,22.370001,22.850000,22.180000,22.709999,22.505037,71600
2020-08-25,22.990000,23.160000,22.480000,22.570000,22.366301,83000
2020-08-26,22.510000,22.510000,22.120001,22.200001,21.999641,55500
2020-08-27,22.110001,22.610001,22.110001,22.520000,22.316751,61300
2020-08-28,22.690001,22.690001,22.200001,22.370001,22.168108,31500
2020-08-31,22.290001,22.320000,21.950001,22.139999,21.940182,94200
2020-09-01,22.030001,22.290001,21.980000,22.270000,22.069010,68800
2020-09-02,22.270000,22.600000,22.100000,22.490000,22.287024,74100
2020-09-03,22.549999,22.559999,21.920000,22.090000,21.890635,112800
2020-09-04,22.430000,22.430000,21.850000,22.150000,21.950092,66100
2020-09-08,22.030001,22.030001,21.410000,21.520000,21.325779,72200
2020-09-09,21.559999,22.360001,21.559999,21.900000,21.702349,125900
2020-09-10,21.900000,22.090000,21.270000,21.290001,21.097857,157100
2020-09-11,21.379999,21.379999,20.680000,21.190001,20.998756,170800
2020-09-14,21.500000,22.330000,21.320000,22.190001,21.989731,165600
2020-09-15,22.440001,22.650000,21.100000,21.170000,20.978935,79400
2020-09-16,21.180000,21.620001,21.059999,21.350000,21.157312,92300
2020-09-17,21.120001,21.200001,20.889999,21.020000,20.830290,67200
2020-09-18,21.200001,21.590000,20.990000,21.459999,21.266317,179000
2020-09-21,21.049999,21.049999,20.370001,20.879999,20.691553,130500
2020-09-22,21.020000,21.020000,20.219999,20.379999,20.196064,53400
2020-09-23,20.240000,20.920000,20.240000,20.809999,20.622185,92200
2020-09-24,20.860001,21.309999,20.709999,21.049999,20.860020,73700
2020-09-25,20.860001,21.530001,20.860001,21.309999,21.117672,81800
2020-09-28,21.559999,22.230000,21.530001,21.990000,21.791536,87000
2020-09-29,22.080000,22.110001,21.740000,21.820000,21.623072,57900
2020-09-30,21.719999,22.400000,21.690001,22.309999,22.108648,69700
2020-10-01,22.290001,22.549999,21.959999,22.510000,22.306841,73400
2020-10-02,22.299999,23.549999,22.260000,23.500000,23.287907,102500
2020-10-05,23.570000,24.430000,23.570000,24.360001,24.140146,142500
2020-10-06,24.370001,24.480000,23.480000,23.580000,23.367186,116800
